Country/Region,ObservationDate,Province/State,Confirmed,Deaths,Recovered
Mainland China,3/7/2020,Gansu,120,2,87
Mainland China,3/7/2020,Guangdong,1352,7,1237
Mainland China,3/7/2020,Guangxi,252,2,218
Mainland China,3/7/2020,Guizhou,146,2,115
Mainland China,3/7/2020,Hainan,168,6,158
Mainland China,3/7/2020,Hebei,318,6,307
Mainland China,3/7/2020,Heilongjiang,481,13,403
Mainland China,3/7/2020,Henan,1272,22,1244
Mainland China,3/7/2020,Hubei,67666,2959,43500
Mainland China,3/7/2020,Hunan,1018,4,960
Mainland China,3/7/2020,Inner Mongolia,75,1,67
Mainland China,3/7/2020,Jiangsu,631,0,606
Mainland China,3/7/2020,Jiangxi,935,1,916
Mainland China,3/7/2020,Jilin,93,1,90
Mainland China,3/7/2020,Liaoning,125,1,107
Mainland China,3/7/2020,Ningxia,75,0,71
Mainland China,3/7/2020,Qinghai,18,0,18
Mainland China,3/7/2020,Shaanxi,245,1,226
Mainland China,3/7/2020,Shandong,758,6,627
Mainland China,3/7/2020,Shanghai,342,3,313
Mainland China,3/7/2020,Shanxi,133,0,126
Mainland China,3/7/2020,Sichuan,539,3,454
Mainland China,3/7/2020,Tianjin,136,3,128
Mainland China,3/7/2020,Tibet,1,0,1
Mainland China,3/7/2020,Xinjiang,76,3,72
Mainland China,3/7/2020,Yunnan,174,2,170
Mainland China,3/7/2020,Zhejiang,1215,1,1154
Malaysia,3/7/2020,,93,0,23
Malta,3/7/2020,,3,0,0
Martinique,3/7/2020,,2,0,0
Mexico,3/7/2020,,6,0,1
Monaco,3/7/2020,,1,0,0
Morocco,3/7/2020,,2,0,0
Nepal,3/7/2020,,1,0,1
Netherlands,3/7/2020,,188,1,0
New Zealand,3/7/2020,,5,0,0
Nigeria,3/7/2020,,1,0,0
North Macedonia,3/7/2020,,3,0,0
Norway,3/7/2020,,147,0,0
Oman,3/7/2020,,16,0,2
Others,3/7/2020,Diamond Princess cruise ship,696,6,40
Pakistan,3/7/2020,,6,0,0
Palestine,3/7/2020,,22,0,0
Peru,3/7/2020,,1,0,0
Philippines,3/7/2020,,6,1,1
Poland,3/7/2020,,5,0,0
Portugal,3/7/2020,,20,0,0
Qatar,3/7/2020,,8,0,0
Romania,3/7/2020,,9,0,3
Russia,3/7/2020,,13,0,2
Saint Barthelemy,3/7/2020,,3,0,0
San Marino,3/7/2020,,23,1,0
Saudi Arabia,3/7/2020,,5,0,0
Senegal,3/7/2020,,4,0,0
Serbia,3/7/2020,,1,0,0
Singapore,3/7/2020,,138,0,78
Slovakia,3/7/2020,,1,0,0
Slovenia,3/7/2020,,7,0,0
South Africa,3/7/2020,,1,0,0
South Korea,3/7/2020,,7041,44,135
Spain,3/7/2020,,500,10,30
Sri Lanka,3/7/2020,,1,0,1
Sweden,3/7/2020,,161,0,0
Switzerland,3/7/2020,,268,1,3
Taiwan,3/7/2020,Taiwan,45,1,12
Thailand,3/7/2020,,50,1,31
Togo,3/7/2020,,1,0,0
Tunisia,3/7/2020,,1,0,0
UK,3/7/2020,,206,2,18
US,3/7/2020," Norfolk County, MA",2,0,0
US,3/7/2020,"Alameda County, CA",2,0,0
US,3/7/2020,"Bergen County, NJ",4,0,0
US,3/7/2020,"Broward County, FL",2,0,0
US,3/7/2020,"Charleston County, SC",1,0,0
US,3/7/2020,"Chatham County, NC",1,0,0
US,3/7/2020,"Clark County, NV",1,0,0
US,3/7/2020,"Clark County, WA",1,0,0
US,3/7/2020,"Cobb County, GA",1,0,0
US,3/7/2020,"Contra Costa County, CA",3,0,0
US,3/7/2020,"Cook County, IL",6,0,2
US,3/7/2020,"Davis County, UT",1,0,0
US,3/7/2020,"Delaware County, PA",1,0,0
US,3/7/2020,"Denver County, CO",2,0,0
US,3/7/2020,"Douglas County, CO",3,0,0
US,3/7/2020,"Douglas County, NE",1,0,0
US,3/7/2020,"El Paso County, CO",1,0,0
US,3/7/2020,"Fairfield County, CT",2,0,0
US,3/7/2020,"Fayette County, KY",1,0,0
US,3/7/2020,"Floyd County, GA",2,0,0
US,3/7/2020,"Fort Bend County, TX",3,0,0
US,3/7/2020,"Fulton County, GA",3,0,0
US,3/7/2020,"Grafton County, NH",2,0,0
US,3/7/2020,Grand Princess Cruise Ship,21,0,0
US,3/7/2020,"Grant County, WA",1,0,0
US,3/7/2020,"Harris County, TX",5,0,0
US,3/7/2020,"Hillsborough, FL",2,0,0
US,3/7/2020,"Honolulu County, HI",1,0,0
US,3/7/2020,"Humboldt County, CA",1,0,0
US,3/7/2020,"Jackson County, OR ",1,0,0
US,3/7/2020,"Jefferson County, WA",1,0,0
US,3/7/2020,"Kershaw County, SC",1,0,0
US,3/7/2020,"King County, WA",71,15,1
US,3/7/2020,"Klamath County, OR",1,0,0
US,3/7/2020,"Lackland, TX (From Diamond Princess)",0,0,0
US,3/7/2020,"Lee County, FL",2,0,0
US,3/7/2020,"Los Angeles, CA",14,0,0
US,3/7/2020,"Madera County, CA",1,0,0
US,3/7/2020,"Madison, WI",1,0,1
US,3/7/2020,"Maricopa County, AZ",3,0,1
US,3/7/2020,"Marion County, IN",1,0,0
US,3/7/2020,"Middlesex County, MA",1,0,0
US,3/7/2020,"Montgomery County, MD",3,0,0
US,3/7/2020,"Montgomery County, TX",0,0,0
US,3/7/2020,"Nassau County, NY",4,0,0
US,3/7/2020,"New York County, NY",11,0,0
US,3/7/2020,"Omaha, NE (From Diamond Princess)",0,0,0
US,3/7/2020,"Orange County, CA",3,0,0
US,3/7/2020,"Pierce County, WA",1,0,0
US,3/7/2020,"Pinal County, AZ",2,0,0
US,3/7/2020,"Placer County, CA",5,1,0
US,3/7/2020,"Plymouth County, MA",1,0,0
US,3/7/2020,"Providence County, RI",3,0,0
US,3/7/2020,"Ramsey County, MN",1,0,0
US,3/7/2020,"Rockland County, NY",2,0,0
US,3/7/2020,"Sacramento County, CA",2,0,0
US,3/7/2020,"San Antonio, TX",1,0,0
US,3/7/2020,"San Benito, CA",2,0,0
US,3/7/2020,"San Diego County, CA",3,0,1
US,3/7/2020,"San Francisco County, CA",9,0,0
US,3/7/2020,"San Mateo, CA",2,0,0
US,3/7/2020,"Santa Clara County, CA",32,0,1
US,3/7/2020,"Santa Cruz County, CA",1,0,0
US,3/7/2020,"Santa Rosa County, FL",1,0,0
US,3/7/2020,"Sarasota, FL",1,0,0
US,3/7/2020,"Saratoga County, NY",2,0,0
US,3/7/2020,"Snohomish County, WA",27,1,0
US,3/7/2020,"Sonoma County, CA",1,0,0
US,3/7/2020,"Suffolk County, MA",3,0,1
US,3/7/2020,"Summit County, CO",2,0,0
US,3/7/2020,"Travis, CA (From Diamond Princess)",0,0,0
US,3/7/2020,"Tulsa County, OK",1,0,0
US,3/7/2020,"Umatilla, OR",1,0,0
US,3/7/2020,Unassigned Location (From Diamond Princess),45,0,0
US,3/7/2020,"Unassigned Location, WA",5,0,0
US,3/7/2020,"Wake County, NC",1,0,0
US,3/7/2020,"Washington County, OR",3,0,0
US,3/7/2020,"Washoe County, NV",1,0,0
US,3/7/2020,"Wayne County, PA",1,0,0
US,3/7/2020,"Westchester County, NY",57,0,0
US,3/7/2020,"Williamson County, TN",1,0,0
US,3/7/2020,"Yolo County, CA",1,0,0
Ukraine,3/7/2020,,1,0,0
United Arab Emirates,3/7/2020,,45,0,7
Vatican City,3/7/2020,,1,0,0
Vietnam,3/7/2020,,18,0,16
Afghanistan,3/8/2020,,4,0,0
Algeria,3/8/2020,,19,0,0
Andorra,3/8/2020,,1,0,0
Argentina,3/8/2020,,12,1,0
Armenia,3/8/2020,,1,0,0
Australia,3/8/2020,From Diamond Princess,0,0,0
Australia,3/8/2020,New South Wales,38,3,4
Australia,3/8/2020,Northern Territory,0,0,0
Australia,3/8/2020,Queensland,15,0,8
Australia,3/8/2020,South Australia,7,0,2
Australia,3/8/2020,Tasmania,2,0,0
Australia,3/8/2020,Victoria,11,0,7
Australia,3/8/2020,Western Australia,3,1,0
Austria,3/8/2020,,104,0,0
Azerbaijan,3/8/2020,,9,0,0
Bahrain,3/8/2020,,85,0,4
Bangladesh,3/8/2020,,3,0,0
Belarus,3/8/2020,,6,0,0
Belgium,3/8/2020,,200,0,1
Bhutan,3/8/2020,,1,0,0
Bosnia and Herzegovina,3/8/2020,,3,0,0
Brazil,3/8/2020,,20,0,0
Bulgaria,3/8/2020,,4,0,0
Cambodia,3/8/2020,,2,0,1
Cameroon,3/8/2020,,2,0,0
Canada,3/8/2020," Montreal, QC",4,0,0
Canada,3/8/2020,British Columbia,27,0,4
Canada,3/8/2020,"Calgary, Alberta",1,0,0
Canada,3/8/2020,"Edmonton, Alberta",3,0,0
Canada,3/8/2020,"London, ON",1,0,1
Canada,3/8/2020,"Toronto, ON",28,0,3
Chile,3/8/2020,,8,0,0
Colombia,3/8/2020,,1,0,0
Costa Rica,3/8/2020,,5,0,0
Croatia,3/8/2020,,12,0,0
Czech Republic,3/8/2020,,31,0,0
Denmark,3/8/2020,,35,0,1
Dominican Republic,3/8/2020,,5,0,0
Ecuador,3/8/2020,,14,0,0
Egypt,3/8/2020,,49,1,1
Estonia,3/8/2020,,10,0,0
Faroe Islands,3/8/2020,,2,0,0
Finland,3/8/2020,,23,0,1
France,3/8/2020,,1126,19,12
French Guiana,3/8/2020,,5,0,0
Georgia,3/8/2020,,13,0,0
Germany,3/8/2020,,1040,0,18
Gibraltar,3/8/2020,,1,0,0
Greece,3/8/2020,,73,0,0
Hong Kong,3/8/2020,Hong Kong,114,3,58
Hungary,3/8/2020,,7,0,0
Iceland,3/8/2020,,50,0,0
India,3/8/2020,,39,0,3
Indonesia,3/8/2020,,6,0,0
Iran,3/8/2020,,6566,194,2134
Iraq,3/8/2020,,60,6,0
Ireland,3/8/2020,,19,0,0
Israel,3/8/2020,,39,0,2
Italy,3/8/2020,,7375,366,622
Japan,3/8/2020,,502,6,76
Jordan,3/8/2020,,1,0,0
Kuwait,3/8/2020,,64,0,1
Latvia,3/8/2020,,2,0,0
Lebanon,3/8/2020,,32,0,1
Liechtenstein,3/8/2020,,1,0,0
Lithuania,3/8/2020,,1,0,0
Luxembourg,3/8/2020,,3,0,0
Macau,3/8/2020,Macau,10,0,10
Mainland China,3/8/2020,Anhui,990,6,984
Mainland China,3/8/2020,Beijing,428,8,308
Mainland China,3/8/2020,Chongqing,576,6,527
Mainland China,3/8/2020,Fujian,296,1,295
Mainland China,3/8/2020,Gansu,124,2,87
Mainland China,3/8/2020,Guangdong,1352,7,1256
Mainland China,3/8/2020,Guangxi,252,2,223
Mainland China,3/8/2020,Guizhou,146,2,117
Mainland China,3/8/2020,Hainan,168,6,159
Mainland China,3/8/2020,Hebei,318,6,307
Mainland China,3/8/2020,Heilongjiang,481,13,412
Mainland China,3/8/2020,Henan,1272,22,1247
Mainland China,3/8/2020,Hubei,67707,2986,45235
Mainland China,3/8/2020,Hunan,1018,4,968
Mainland China,3/8/2020,Inner Mongolia,75,1,70
Mainland China,3/8/2020,Jiangsu,631,0,612
Mainland China,3/8/2020,Jiangxi,935,1,919
Mainland China,3/8/2020,Jilin,93,1,90
Mainland China,3/8/2020,Liaoning,125,1,109
Mainland China,3/8/2020,Ningxia,75,0,71
Mainland China,3/8/2020,Qinghai,18,0,18
Mainland China,3/8/2020,Shaanxi,245,1,227
Mainland China,3/8/2020,Shandong,758,6,642
Mainland China,3/8/2020,Shanghai,342,3,314
Mainland China,3/8/2020,Shanxi,133,0,126
Mainland China,3/8/2020,Sichuan,539,3,464
Mainland China,3/8/2020,Tianjin,136,3,128
Mainland China,3/8/2020,Tibet,1,0,1
Mainland China,3/8/2020,Xinjiang,76,3,73
Mainland China,3/8/2020,Yunnan,174,2,170
Mainland China,3/8/2020,Zhejiang,1215,1,1161
Malaysia,3/8/2020,,99,0,24
Maldives,3/8/2020,,4,0,0
Malta,3/8/2020,,3,0,0
Martinique,3/8/2020,,2,0,0
Mexico,3/8/2020,,7,0,1
Moldova,3/8/2020,,1,0,0
Monaco,3/8/2020,,1,0,0
Morocco,3/8/2020,,2,0,0
Nepal,3/8/2020,,1,0,1
Netherlands,3/8/2020,,265,3,0
New Zealand,3/8/2020,,5,0,0
Nigeria,3/8/2020,,1,0,0
North Macedonia,3/8/2020,,3,0,0
Norway,3/8/2020,,176,0,0
Oman,3/8/2020,,16,0,2
Others,3/8/2020,Diamond Princess cruise ship,696,6,40
Pakistan,3/8/2020,,6,0,1
Palestine,3/8/2020,,22,0,0
Paraguay,3/8/2020,,1,0,0
Peru,3/8/2020,,6,0,0
Philippines,3/8/2020,,10,1,1
Poland,3/8/2020,,11,0,0
Portugal,3/8/2020,,30,0,0
Qatar,3/8/2020,,15,0,0
Republic of Ireland,3/8/2020,,21,0,0
Romania,3/8/2020,,15,0,3
Russia,3/8/2020,,17,0,3
Saint Barthelemy,3/8/2020,,3,0,0
San Marino,3/8/2020,,36,1,0
Saudi Arabia,3/8/2020,,11,0,0
Senegal,3/8/2020,,4,0,1
Serbia,3/8/2020,,1,0,0
Singapore,3/8/2020,,150,0,78
Slovakia,3/8/2020,,3,0,0
Slovenia,3/8/2020,,16,0,0
South Africa,3/8/2020,,3,0,0
South Korea,3/8/2020,,7314,50,118
Spain,3/8/2020,,673,17,30
Sri Lanka,3/8/2020,,1,0,1
Sweden,3/8/2020,,203,0,0
Switzerland,3/8/2020,,337,2,3
Taiwan,3/8/2020,Taiwan,45,1,13
Thailand,3/8/2020,,50,1,31
Togo,3/8/2020,,1,0,0
Tunisia,3/8/2020,,2,0,0
UK,3/8/2020,,273,3,18
US,3/8/2020,"Alameda County, CA",2,0,0
US,3/8/2020,"Bergen County, NJ",4,0,0
US,3/8/2020,"Berkshire County, MA",1,0,0
US,3/8/2020,"Broward County, FL",2,0,0
US,3/8/2020,"Charleston County, SC",1,0,0
US,3/8/2020,"Chatham County, NC",1,0,0
US,3/8/2020,"Clark County, NV",2,0,0
US,3/8/2020,"Clark County, WA",1,0,0
US,3/8/2020,"Cobb County, GA",1,0,0
US,3/8/2020,"Contra Costa County, CA",12,0,0
US,3/8/2020,"Cook County, IL",7,0,2
US,3/8/2020,"Davidson County, TN",1,0,0
US,3/8/2020,"Davis County, UT",1,0,0
US,3/8/2020,"Delaware County, PA",1,0,0
US,3/8/2020,"Denver County, CO",2,0,0
US,3/8/2020,"Douglas County, CO",3,0,0
US,3/8/2020,"Douglas County, NE",1,0,0
US,3/8/2020,"Douglas County, OR",1,0,0
US,3/8/2020,"El Paso County, CO",1,0,0
US,3/8/2020,"Fairfax County, VA",2,0,0
US,3/8/2020,"Fairfield County, CT",1,0,0
US,3/8/2020,"Fayette County, KY",1,0,0
US,3/8/2020,"Fort Bend County, TX",6,0,0
US,3/8/2020,"Fresno County, CA",1,0,0
US,3/8/2020,"Fulton County, GA",3,0,0
US,3/8/2020,"Grafton County, NH",4,0,0
US,3/8/2020,Grand Princess Cruise Ship,21,0,0
US,3/8/2020,"Grant County, WA",1,0,0
US,3/8/2020,"Harford County, MD",1,0,0
US,3/8/2020,"Harris County, TX",5,0,0
US,3/8/2020,"Hendricks County, IN",1,0,0
US,3/8/2020,"Hillsborough, FL",2,0,0
US,3/8/2020,"Honolulu County, HI",1,0,0
US,3/8/2020,"Hudson County, NJ",1,0,0
US,3/8/2020,"Humboldt County, CA",1,0,0
US,3/8/2020,"Jackson County, OR ",2,0,0
US,3/8/2020,"Jefferson County, WA",1,0,0
US,3/8/2020,"Johnson County, KS",1,0,0
US,3/8/2020,"Kershaw County, SC",1,0,0
US,3/8/2020,"King County, WA",83,17,1
US,3/8/2020,"Kittitas County, WA",1,0,0
US,3/8/2020,"Klamath County, OR",1,0,0
US,3/8/2020,"Lackland, TX (From Diamond Princess)",0,0,0
US,3/8/2020,"Lee County, FL",2,1,0
US,3/8/2020,"Los Angeles, CA",14,0,0
US,3/8/2020,"Madera County, CA",1,0,0
US,3/8/2020,"Madison, WI",1,0,1
US,3/8/2020,"Manatee County, FL",1,0,0
US,3/8/2020,"Maricopa County, AZ",3,0,1
US,3/8/2020,"Marion County, IN",1,0,0
US,3/8/2020,"Marion County, OR",1,0,0
US,3/8/2020,"Middlesex County, MA",7,0,0
US,3/8/2020,"Montgomery County, MD",4,0,0
US,3/8/2020,"Montgomery County, PA",4,0,0
US,3/8/2020,"Montgomery County, TX",0,0,0
US,3/8/2020,"Nassau County, NY",5,0,0
US,3/8/2020,"New York County, NY",12,0,0
US,3/8/2020,"Norfolk County, MA",6,0,0
US,3/8/2020,"Okaloosa County, FL",1,0,0
US,3/8/2020,"Omaha, NE (From Diamond Princess)",0,0,0
US,3/8/2020,"Orange County, CA",3,0,0
US,3/8/2020,"Pierce County, WA",4,0,0
US,3/8/2020,"Pinal County, AZ",2,0,0
US,3/8/2020,"Placer County, CA",5,1,0
US,3/8/2020,"Plymouth County, MA",1,0,0
US,3/8/2020,"Polk County, GA",1,0,0
US,3/8/2020,"Providence County, RI",3,0,0
US,3/8/2020,"Ramsey County, MN",1,0,0
US,3/8/2020,"Riverside County, CA",1,0,0
US,3/8/2020,"Rockingham County, NH",2,0,0
US,3/8/2020,"Rockland County, NY",2,0,0
US,3/8/2020,"Sacramento County, CA",2,0,0
US,3/8/2020,"San Antonio, TX",1,0,0
US,3/8/2020,"San Benito, CA",2,0,0
US,3/8/2020,"San Diego County, CA",3,0,1
US,3/8/2020,"San Francisco County, CA",9,0,0
US,3/8/2020,"San Mateo, CA",2,0,0
US,3/8/2020,"Santa Clara County, CA",38,0,1
US,3/8/2020,"Santa Rosa County, FL",1,1,0
US,3/8/2020,"Sarasota, FL",1,0,0
US,3/8/2020,"Saratoga County, NY",2,0,0
US,3/8/2020,"Shelby County, TN",1,0,0
US,3/8/2020,"Snohomish County, WA",31,1,0
US,3/8/2020,"Sonoma County, CA",1,0,0
US,3/8/2020,"Spokane County, WA",1,0,0
US,3/8/2020,"St. Louis County, MO",1,0,0
US,3/8/2020,"Suffolk County, MA",8,0,1
US,3/8/2020,"Suffolk County, NY",1,0,0
US,3/8/2020,"Summit County, CO",2,0,0
US,3/8/2020,"Travis, CA (From Diamond Princess)",0,0,0
US,3/8/2020,"Tulsa County, OK",1,0,0
US,3/8/2020,"Ulster County, NY",1,0,0
US,3/8/2020,"Umatilla, OR",1,0,0
US,3/8/2020,Unassigned Location (From Diamond Princess),45,0,0
US,3/8/2020,"Unassigned Location, VT",1,0,0
US,3/8/2020,"Unassigned Location, WA",5,0,0
US,3/8/2020,"Unknown Location, MA",1,0,0
US,3/8/2020,"Volusia County, FL",1,0,0
US,3/8/2020,"Wake County, NC",1,0,0
US,3/8/2020,"Washington County, OR",8,0,0
US,3/8/2020,"Washington, D.C.",2,0,0
US,3/8/2020,"Washoe County, NV",2,0,0
US,3/8/2020,"Wayne County, PA",1,0,0
US,3/8/2020,"Westchester County, NY",83,0,0
US,3/8/2020,"Williamson County, TN",1,0,0
US,3/8/2020,"Yolo County, CA",1,0,0
Ukraine,3/8/2020,,1,0,0
United Arab Emirates,3/8/2020,,45,0,7
Vatican City,3/8/2020,,1,0,0
Vietnam,3/8/2020,,30,0,16
Afghanistan,3/9/2020,,4,0,0
Albania,3/9/2020,,2,0,0
Algeria,3/9/2020,,20,0,0
Andorra,3/9/2020,,1,0,0
Argentina,3/9/2020,,12,1,0
Armenia,3/9/2020,,1,0,0
Australia,3/9/2020,From Diamond Princess,0,0,0
Australia,3/9/2020,New South Wales,48,3,4
Australia,3/9/2020,Northern Territory,0,0,0
Australia,3/9/2020,Queensland,15,0,8
Australia,3/9/2020,South Australia,7,0,2
Australia,3/9/2020,Tasmania,2,0,0
Australia,3/9/2020,Victoria,15,0,7
Australia,3/9/2020,Western Australia,4,1,0
Austria,3/9/2020,,131,0,2
Azerbaijan,3/9/2020,,9,0,0
Bahrain,3/9/2020,,95,0,14
Bangladesh,3/9/2020,,3,0,0
Belarus,3/9/2020,,6,0,1
Belgium,3/9/2020,,239,0,1
Bhutan,3/9/2020,,1,0,0
Bosnia and Herzegovina,3/9/2020,,3,0,0
Brazil,3/9/2020,,25,0,0
Brunei,3/9/2020,,1,0,0
Bulgaria,3/9/2020,,4,0,0
Cambodia,3/9/2020,,2,0,1
Cameroon,3/9/2020,,2,0,0
Canada,3/9/2020,Alberta,7,0,0
Canada,3/9/2020,British Columbia,32,1,4
Canada,3/9/2020,Ontario,34,0,4
Canada,3/9/2020,Quebec,3,0,0
Chile,3/9/2020,,8,0,0
Colombia,3/9/2020,,1,0,0
Costa Rica,3/9/2020,,9,0,0
Croatia,3/9/2020,,12,0,0
Cyprus,3/9/2020,,2,0,0
Czech Republic,3/9/2020,,31,0,0
Denmark,3/9/2020,,90,0,1
Dominican Republic,3/9/2020,,5,0,0
Ecuador,3/9/2020,,15,0,0
Egypt,3/9/2020,,55,1,12
Estonia,3/9/2020,,10,0,0
Faroe Islands,3/9/2020,,2,0,0
Finland,3/9/2020,,30,0,1
France,3/9/2020,,1209,19,12
French Guiana,3/9/2020,,5,0,0
Georgia,3/9/2020,,15,0,0
Germany,3/9/2020,,1176,2,18
Gibraltar,3/9/2020,,1,0,0
Greece,3/9/2020,,73,0,0
Hong Kong,3/9/2020,Hong Kong,115,3,59
Hungary,3/9/2020,,9,0,0
Iceland,3/9/2020,,58,0,0
India,3/9/2020,,43,0,3
Indonesia,3/9/2020,,19,0,0
Iran,3/9/2020,,7161,237,2394
Iraq,3/9/2020,,60,6,9
Ireland,3/9/2020,,21,0,0
Israel,3/9/2020,,39,0,2
Italy,3/9/2020,,9172,463,724
Japan,3/9/2020,,511,17,76
Jordan,3/9/2020,,1,0,0
Kuwait,3/9/2020,,64,0,1
Latvia,3/9/2020,,6,0,0
Lebanon,3/9/2020,,32,0,1
Liechtenstein,3/9/2020,,1,0,0
Lithuania,3/9/2020,,1,0,0
Luxembourg,3/9/2020,,3,0,0
Macau,3/9/2020,Macau,10,0,10
Mainland China,3/9/2020,Anhui,990,6,984
Mainland China,3/9/2020,Beijing,428,8,315
Mainland China,3/9/2020,Chongqing,576,6,542
Mainland China,3/9/2020,Fujian,296,1,295
Mainland China,3/9/2020,Gansu,124,2,88
Mainland China,3/9/2020,Guangdong,1352,8,1260
Mainland China,3/9/2020,Guangxi,252,2,230
Mainland China,3/9/2020,Guizhou,146,2,123
Mainland China,3/9/2020,Hainan,168,6,159
Mainland China,3/9/2020,Hebei,318,6,307
Mainland China,3/9/2020,Heilongjiang,481,13,430
Mainland China,3/9/2020,Henan,1272,22,1247
Mainland China,3/9/2020,Hubei,67743,3008,46488
Mainland China,3/9/2020,Hunan,1018,4,979
Mainland China,3/9/2020,Inner Mongolia,75,1,70
Mainland China,3/9/2020,Jiangsu,631,0,621
Mainland China,3/9/2020,Jiangxi,935,1,923
Mainland China,3/9/2020,Jilin,93,1,91
Mainland China,3/9/2020,Liaoning,125,1,109
Mainland China,3/9/2020,Ningxia,75,0,71
Mainland China,3/9/2020,Qinghai,18,0,18
Mainland China,3/9/2020,Shaanxi,245,1,227
Mainland China,3/9/2020,Shandong,758,6,700
Mainland China,3/9/2020,Shanghai,342,3,315
Mainland China,3/9/2020,Shanxi,133,0,127
Mainland China,3/9/2020,Sichuan,539,3,466
Mainland China,3/9/2020,Tianjin,136,3,130
Mainland China,3/9/2020,Tibet,1,0,1
Mainland China,3/9/2020,Xinjiang,76,3,73
Mainland China,3/9/2020,Yunnan,174,2,170
Mainland China,3/9/2020,Zhejiang,1215,1,1176
Malaysia,3/9/2020,,117,0,24
Maldives,3/9/2020,,4,0,0
Malta,3/9/2020,,3,0,0
Martinique,3/9/2020,,2,0,0
Mexico,3/9/2020,,7,0,1
Moldova,3/9/2020,,1,0,0
Monaco,3/9/2020,,1,0,0
Morocco,3/9/2020,,2,0,0
Nepal,3/9/2020,,1,0,1
Netherlands,3/9/2020,,321,3,0
New Zealand,3/9/2020,,5,0,0
Nigeria,3/9/2020,,2,0,0
North Macedonia,3/9/2020,,3,0,0
Norway,3/9/2020,,205,0,1
Oman,3/9/2020,,16,0,2
Others,3/9/2020,Diamond Princess cruise ship,696,6,40
Pakistan,3/9/2020,,6,0,1
Palestine,3/9/2020,,22,0,0
Paraguay,3/9/2020,,1,0,0
Peru,3/9/2020,,7,0,0
Philippines,3/9/2020,,20,1,1
Poland,3/9/2020,,16,0,0
Portugal,3/9/2020,,30,0,0
Qatar,3/9/2020,,18,0,0
Romania,3/9/2020,,15,0,3
Russia,3/9/2020,,17,0,3
Saint Barthelemy,3/9/2020,,1,0,0
San Marino,3/9/2020,,36,1,0
Saudi Arabia,3/9/2020,,15,0,0
Senegal,3/9/2020,,4,0,1
Serbia,3/9/2020,,1,0,0
Singapore,3/9/2020,,150,0,78
Slovakia,3/9/2020,,3,0,0
Slovenia,3/9/2020,,16,0,0
South Africa,3/9/2020,,3,0,0
South Korea,3/9/2020,,7478,53,118
Spain,3/9/2020,,1073,28,32
Sri Lanka,3/9/2020,,1,0,1
St. Martin,3/9/2020,,2,0,0
Sweden,3/9/2020,,248,0,1
Switzerland,3/9/2020,,374,2,3
Taiwan,3/9/2020,Taiwan,45,1,15
Thailand,3/9/2020,,50,1,31
Togo,3/9/2020,,1,0,0
Tunisia,3/9/2020,,2,0,0
UK,3/9/2020,,321,4,18
US,3/9/2020,"Alameda County, CA",2,0,0
US,3/9/2020,"Bennington County, VT",1,0,0
US,3/9/2020,"Bergen County, NJ",4,0,0
US,3/9/2020,"Berkshire County, MA",1,0,0
US,3/9/2020,"Broward County, FL",3,0,0
US,3/9/2020,"Carver County, MN",1,0,0
US,3/9/2020,"Charleston County, SC",1,0,0
US,3/9/2020,"Charlotte County, FL",1,0,0
US,3/9/2020,"Chatham County, NC",1,0,0
US,3/9/2020,"Cherokee County, GA",1,0,0
US,3/9/2020,"Clark County, NV",2,0,0
US,3/9/2020,"Clark County, WA",1,0,0
US,3/9/2020,"Cobb County, GA",3,0,0
US,3/9/2020,"Collin County, TX",1,0,0
US,3/9/2020,"Contra Costa County, CA",12,0,0
US,3/9/2020,"Cook County, IL",7,0,2
US,3/9/2020,"Davidson County, TN",1,0,0
US,3/9/2020,"Davis County, UT",1,0,0
US,3/9/2020,"Delaware County, PA",1,0,0
US,3/9/2020,"Denver County, CO",2,0,0
US,3/9/2020,"Douglas County, CO",3,0,0
US,3/9/2020,"Douglas County, NE",3,0,0
US,3/9/2020,"Douglas County, OR",1,0,0
US,3/9/2020,"El Paso County, CO",1,0,0
US,3/9/2020,"Fairfax County, VA",2,0,0
US,3/9/2020,"Fairfield County, CT",1,0,0
US,3/9/2020,"Fayette County, KY",1,0,0
US,3/9/2020,"Fort Bend County, TX",6,0,0
US,3/9/2020,"Fresno County, CA",1,0,0
US,3/9/2020,"Fulton County, GA",5,0,0
US,3/9/2020,"Grafton County, NH",4,0,0
US,3/9/2020,Grand Princess Cruise Ship,21,0,0
US,3/9/2020,"Grant County, WA",1,1,0
US,3/9/2020,"Harford County, MD",1,0,0
US,3/9/2020,"Harris County, TX",6,0,0
US,3/9/2020,"Harrison County, KY",2,0,0
US,3/9/2020,"Hendricks County, IN",2,0,0
US,3/9/2020,"Hillsborough, FL",2,0,0
US,3/9/2020,"Honolulu County, HI",2,0,0
US,3/9/2020,"Hudson County, NJ",1,0,0
US,3/9/2020,"Humboldt County, CA",1,0,0
US,3/9/2020,"Jackson County, OR ",2,0,0
US,3/9/2020,"Jefferson County, KY",1,0,0
US,3/9/2020,"Jefferson County, WA",1,0,0
US,3/9/2020,"Jefferson Parish, LA",1,0,0
US,3/9/2020,"Johnson County, IA",3,0,0
US,3/9/2020,"Johnson County, KS",1,0,0
US,3/9/2020,"Kershaw County, SC",4,0,0
US,3/9/2020,"King County, WA",83,17,1
US,3/9/2020,"Kittitas County, WA",1,0,0
US,3/9/2020,"Klamath County, OR",1,0,0
